seeds: 919_339_981 562_444_630 3366_006_921 67_827_214 1496_677_366 101_156_779 4140_591_657 5_858_311 2566_406_753 71_724_353 2721_360_939 35_899_538 383_860_877 424_668_759 3649_554_897 442_182_562 2846_055_542 49_953_829 2988_140_126 256_306_471

seed-to-soil map:
1258_814_219 1870_560_966 858_787_521
3075_022_165 1087_373_312 159_154_939
2439_602_258 3906_331_676 49_637_192
2297_013_316 3685_217_461 142_588_942
2567_764_723 1530_861_045 339_699_921
3254_099_012 2863_833_484 821_383_977
2489_239_450 3827_806_403 78_525_273
2117_601_740 1351_449_469 179_411_576

light-to-temperature map:
83_647_742 560_398_800 311_449_275
4201_716_419 3337_900_402 93_250_877
1071_565_427 3024_001_249 4_392_221
3424_420_254 3520_028_211 161_472_091
1227_070_419 2828_368_402 116_428_819
0 2744_720_660 83_647_742
4199_359_339 3431_151_279 2_357_080
1807_547_949 2359_072_262 384_093_366
3336_003_529 3486_377_667 33_650_544
1075_957_648 871_848_075 149_557_739
3585_892_345 3681_500_302 613_466_994
955_495_817 2243_002_652 116_069_610
2191_641_315 1406_250_497 836_752_155
3369_654_073 3433_508_359 52_869_308
1343_499_238 2944_797_221 79_204_028
3422_523_381 3336_003_529 1_896_873
395_097_017 0 560_398_800
1225_515_387 2743_165_628 1_555_032
1422_703_266 1021_405_814 384_844_683

temperature-to-humidity map:
3340_701_300 3627_322_367 174_281_926
3514_983_226 4012_096_602 282_870_694
403_969_772 2344_934_648 125_307_793
356_249_525 1299_750_763 47_720_247
529_277_565 0 19_150_241
2425_473_363 606_907_612 15_105_367
1622_667_408 1693_081_570 188_915_118
1858_084_350 1347_471_010 47_053_630
4223_873_328 2752_952_198 71_093_968
2749_048_741 3035_669_808 188_955_792
0 2134_178_305 190_659_232
1112_200_615 96_440_819 510_466_793
4148_180_263 2749_048_741 3_903_457
1811_582_526 1113_827_741 11_131_074
548_427_806 2324_837_537 20_097_111
1905_137_980 2051_821_050 82_357_255
3116_507_691 3224_625_600 224_193_609
1822_713_600 1657_710_820 35_370_750
568_524_917 622_012_979 491_814_762
2440_578_730 66_777_108 29_663_711
2250_681_415 1124_958_815 174_791_948
4009_477_562 3873_393_901 138_702_701
190_659_232 1881_996_688 165_590_293
1987_495_235 1394_524_640 263_186_180
1107_966_546 2047_586_981 4_234_069
1060_339_679 19_150_241 47_626_867
4210_822_392 3801_604_293 13_050_936
2938_004_533 3448_819_209 178_503_158
3797_853_920 2824_046_166 211_623_642
4152_083_720 3814_655_229 58_738_672

humidity-to-location map:
2102_802_203 2756_269_781 87_468_599
2877_112_183 2931_341_663 22_549_647
3494_879_649 1477_788_233 182_041_959
2436_026_725 2953_891_310 81_993_792
2899_661_830 373_999_642 244_663_414
2190_270_802 850_802_545 169_763_790
3866_824_018 90_439_080 13_573_105
320_139_638 1659_830_192 113_214_403
1131_501_111 1773_044_595 246_249_128
2417_984_929 828_638_896 16_505_804
3839_766_923 845_144_700 5_657_845
4161_134_012 2843_738_380 87_603_283
3731_370_785 3801_964_390 108_396_138
1003_659_815 3442_085_055 127_841_296
918_426_975 3986_208_955 85_232_840
433_354_041 618_663_056 209_975_840
2811_371_438 0 65_740_745
2518_020_517 1329_719_948 148_068_285
651_651_860 3035_885_102 266_775_115
0 2256_642_811 320_139_638
2666_088_802 228_717_006 145_282_636
4136_435_677 65_740_745 24_698_335
3144_325_244 1046_598_285 188_874_270
1657_153_777 2576_782_449 179_487_332
1844_732_214 3569_926_351 232_038_039
643_329_881 2077_244_060 8_321_979
1471_997_632 4071_441_795 175_759_508
2076_770_253 1020_566_335 26_031_950
3676_921_608 3931_759_778 54_449_177
3997_010_839 3302_660_217 139_424_838
3845_424_768 3910_360_528 21_399_250
1836_641_109 104_012_185 8_091_105
3333_199_514 2085_566_039 161_680_135
3880_397_123 112_103_290 116_613_716
2360_034_592 2019_293_723 57_950_337
1377_750_239 1235_472_555 94_247_393
1647_757_140 2247_246_174 9_396_637
2434_490_733 4247_201_303 1_535_992

